Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
1,Timmy Allen,Apr 6 '24 MEM vs. PHI,24,1,5,125,6,23,0,7,1,2,4,17,5,4,0,2,18,13,0.261,0,0.5
2,Ibou Badji,Dec 26 '23 POR vs. SAC,21,1,22,226,14,22,0,0,6,12,20,51,13,3,20,15,46,34,0.636,,0.5
3,Amari Bailey,Nov 12 '23 CHO @ NYK,19,1,10,65,8,24,1,8,6,7,6,9,7,3,0,4,2,23,0.333,0.125,0.857
4,Emoni Bates,Oct 28 '23 CLE vs. IND,20,1,15,133,15,49,10,33,1,4,1,14,10,1,2,8,5,41,0.306,0.303,0.25
5,Jules Bernard,Dec 8 '23 WAS @ BRK,24,1,19,149,29,64,11,29,5,9,10,26,16,3,1,8,14,74,0.453,0.379,0.556
6,Onuralp Bitim,Nov 4 '23 CHI @ DEN,24,1,23,268,32,84,12,44,4,5,6,32,13,3,2,10,24,80,0.381,0.273,0.8
7,Anthony Black,Oct 25 '23 ORL vs. HOU,20,2,72,1238,127,270,39,98,53,87,37,149,103,35,24,60,118,346,0.47,0.398,0.609
8,Leaky Black,Nov 8 '23 CHO vs. WAS,24,1,26,284,25,52,9,20,10,15,9,48,24,8,11,6,19,69,0.481,0.45,0.667
9,Izaiah Brockington,Mar 5 '24 NOP @ TOR,24,1,1,3,2,5,0,1,0,0,1,2,0,0,0,0,0,4,0.4,0,
10,Kobe Brown,Oct 25 '23 LAC vs. POR,24,1,44,394,37,90,14,48,1,2,20,62,25,12,6,9,49,89,0.411,0.292,0.5
11,Kobe Bufkin,Oct 29 '23 ATL @ MIL,20,1,17,196,34,92,9,40,4,8,6,33,27,7,5,10,20,81,0.37,0.225,0.5
12,Toumani Camara,Oct 25 '23 POR @ LAC,23,2,73,1827,207,460,63,181,78,104,149,358,97,71,33,87,185,555,0.45,0.348,0.75
13,D.J. Carton,Feb 22 '24 TOR vs. BRK,23,2,6,61,4,13,1,6,5,6,2,8,6,3,0,5,4,14,0.308,0.167,0.833
14,Colin Castleton,Nov 4 '23 LAL @ ORL,23,1,16,59,9,16,0,0,6,6,6,12,3,2,0,3,11,24,0.563,,1
15,Malcolm Cazalon,Nov 5 '23 DET vs. PHO,22,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16,Sidy Cissoko,Nov 20 '23 SAS vs. LAC,19,1,12,141,16,33,1,12,12,15,8,22,10,7,3,3,18,45,0.485,0.083,0.8
17,Noah Clowney,Nov 25 '23 BRK vs. MIA,19,2,26,422,59,120,17,48,25,34,31,93,18,10,17,18,31,160,0.492,0.354,0.735
18,Bilal Coulibaly,Oct 25 '23 WAS @ IND,19,2,65,1780,198,450,68,194,99,140,60,268,117,58,48,93,139,563,0.44,0.351,0.707
19,Ricky Council IV,Jan 2 '24 PHI vs. CHI,22,2,34,302,55,116,13,34,57,75,14,47,16,8,1,6,18,180,0.474,0.382,0.76
20,Jalen Crutcher,Feb 27 '24 NOP @ NYK,24,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
21,Dexter Dennis,Dec 1 '23 DAL vs. MEM,24,1,4,30,10,19,1,8,1,3,1,9,4,0,1,3,1,22,0.526,0.125,0.333
22,Gradey Dick,Oct 25 '23 TOR vs. MIN,20,2,63,1351,206,483,95,260,52,59,28,136,71,36,4,53,95,559,0.427,0.365,0.881
23,Henri Drell,Mar 14 '24 CHI vs. LAC,23,1,4,30,4,10,2,6,1,2,1,4,4,2,1,2,6,11,0.4,0.333,0.5
24,Tosan Evbuomwan,Feb 2 '24 MEM vs. GSW,22,1,17,367,36,71,12,32,17,25,18,60,16,6,5,9,23,101,0.507,0.375,0.68
25,Adam Flagler,Feb 23 '24 OKC vs. WAS,24,2,5,20,3,9,3,8,0,0,0,1,4,1,0,0,1,9,0.333,0.375,
26,Jordan Ford,Oct 25 '23 SAC @ UTA,25,1,6,22,4,7,2,3,2,2,0,2,2,0,0,1,0,12,0.571,0.667,1
27,Javon Freeman-Liberty,Jan 17 '24 TOR vs. MIA,24,1,22,403,55,124,10,42,33,36,16,70,40,10,4,25,28,153,0.444,0.238,0.917
28,Alex Fudge,Nov 4 '23 LAL @ ORL,20,1,6,40,6,15,1,5,2,2,4,5,0,3,0,2,2,15,0.4,0.2,1
29,Andrew Funk,Mar 14 '24 CHI vs. LAC,24,1,5,13,0,4,0,3,0,0,0,0,0,1,1,0,0,0,0,0,
30,Kaiser Gates,Oct 30 '23 NOP vs. GSW,27,1,1,7,0,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,
31,Keyonte George,Oct 25 '23 UTA vs. SAC,20,2,77,2084,326,845,151,454,195,233,16,215,342,38,7,194,93,998,0.386,0.333,0.837
32,Collin Gillespie,Oct 24 '23 DEN vs. LAL,24,2,25,228,33,71,16,39,8,12,1,21,27,13,0,14,24,90,0.465,0.41,0.667
33,Mouhamadou Gueye,Feb 12 '24 TOR vs. SAS,25,1,11,120,11,38,0,3,4,9,12,23,5,3,18,12,15,26,0.289,0,0.444
34,Mouhamed Gueye,Oct 29 '23 ATL @ MIL,21,2,7,76,9,25,3,10,5,6,10,22,4,5,4,1,13,26,0.36,0.3,0.833
35,Jordan Hawkins,Oct 25 '23 NOP @ MEM,21,2,70,1251,192,490,118,315,76,89,31,167,74,19,8,44,74,578,0.392,0.375,0.854
36,Scoot Henderson,Oct 25 '23 POR @ LAC,19,2,65,1852,323,836,89,280,179,218,55,204,353,51,13,221,204,914,0.386,0.318,0.821
37,Taylor Hendricks,Oct 25 '23 UTA vs. SAC,20,2,42,909,112,253,56,149,24,31,49,197,32,32,33,28,83,304,0.443,0.376,0.774
38,D'Moi Hodge,Nov 4 '23 LAL @ ORL,25,1,7,41,5,15,3,12,1,2,0,0,5,1,1,1,4,14,0.333,0.25,0.5
39,Chet Holmgren,Oct 25 '23 OKC @ CHI,21,2,85,2511,532,1001,132,364,232,296,138,687,209,57,202,138,203,1428,0.531,0.363,0.784
40,Jalen Hood-Schifino,Nov 27 '23 LAL @ PHI,20,1,21,109,10,45,2,15,12,20,2,13,8,3,2,9,13,34,0.222,0.133,0.6
41,Jett Howard,Oct 25 '23 ORL vs. HOU,20,2,21,85,15,40,11,33,2,4,1,10,6,2,2,3,5,43,0.375,0.333,0.5
42,Matthew Hurt,Jan 29 '24 MEM vs. SAC,23,1,8,113,12,34,5,20,3,3,9,16,4,3,3,2,8,32,0.353,0.25,1
