number_of_clusters,Silhouette_distance,WCSS_distance
2,0.7374939865724367,3.869743755300333E13
3,0.5908589123912342,1.6699705999405963E13
4,0.5450581076561732,1.0137361619004236E13
5,0.5422781919286429,8.332764585431938E12
6,0.5138408611245681,6.164810460840551E12
7,0.5219827461895851,4.2925434633314624E12
8,0.4174529942014872,4.873986673807701E12
9,0.4215636258190113,3.5853443668306504E12
10,0.41390099422601695,4.734169173236104E12
