number_of_clusters,Silhouette_distance,WCSS_distance
2,0.8239868134218321,2.983315092530656E13
3,0.7817701083529507,6.855162949998931E12
4,0.7575123119896454,1.9428940471089958E12
5,0.7407224512392974,9.483158105107534E11
6,0.7430019858717833,3.900568711226624E11
7,0.7319353743787034,2.1296552959158264E11
8,0.7323972369230307,1.2497196195597377E11
9,0.7364754446073163,7.584665279418849E10
10,0.711972752778694,6.4317512304183556E10
