number_of_clusters,Silhouette_distance,WCSS_distance
2,0.8561060411323064,1.1395937419168135E13
3,0.8377096617450857,1.7135949559392996E12
4,0.7300776950461587,1.0748249996001786E12
5,0.7413873649771474,6.983877117147048E11
6,0.7198174166621745,2.2270711354507266E11
7,0.7102788751432481,2.724966330411477E11
8,0.6508936605766681,2.443662838387988E11
9,0.6628869100100698,9.845252502576382E10
10,0.5888917157344917,8.835367732753976E10
